product_key,sku,product_name,category,subcategory,unit_cost,unit_price,reorder_point
76,SKU-1076,Everyone Cookware,Home & Kitchen,Cookware,327.0,588.07,49
77,SKU-1077,Skin Cookware,Home & Kitchen,Cookware,11.42,16.57,52
78,SKU-1078,Pattern Paper Good,Office Supplies,Paper Goods,386.82,604.55,92
79,SKU-1079,Later Power Tool,Tools & Hardware,Power Tools,272.45,625.75,52
80,SKU-1080,Water Audio,Electronics,Audio,351.06,540.48,84
81,SKU-1081,Past Paper Good,Office Supplies,Paper Goods,45.14,79.67,50
82,SKU-1082,Inside Accessorie,Apparel,Accessories,393.73,531.67,83
83,SKU-1083,High Storage,Home & Kitchen,Storage,19.67,34.75,76
84,SKU-1084,Discuss Fastener,Tools & Hardware,Fasteners,288.33,624.1,95
85,SKU-1085,Certainly Storage,Home & Kitchen,Storage,173.66,422.61,52
86,SKU-1086,Mr Power Tool,Tools & Hardware,Power Tools,266.03,362.34,48
87,SKU-1087,Minute Power Tool,Tools & Hardware,Power Tools,267.42,434.3,99
88,SKU-1088,Benefit Furniture,Office Supplies,Furniture,52.66,91.97,58
89,SKU-1089,Someone Small Appliance,Home & Kitchen,Small Appliances,228.5,394.82,10
90,SKU-1090,Anyone Writing,Office Supplies,Writing,85.65,190.27,87
91,SKU-1091,Traditional Writing,Office Supplies,Writing,177.83,369.59,75
92,SKU-1092,Break Accessorie,Apparel,Accessories,69.54,91.11,75
93,SKU-1093,Claim Power Tool,Tools & Hardware,Power Tools,39.17,95.48,40
94,SKU-1094,Product Paper Good,Office Supplies,Paper Goods,323.01,449.49,15
95,SKU-1095,Collection Storage,Home & Kitchen,Storage,245.29,539.4,68
96,SKU-1096,Structure Accessorie,Apparel,Accessories,231.12,493.18,59
97,SKU-1097,Response Footwear,Apparel,Footwear,99.11,203.46,10
98,SKU-1098,Knowledge Accessorie,Electronics,Accessories,89.1,200.06,99
99,SKU-1099,Pick Power Tool,Tools & Hardware,Power Tools,21.99,33.51,25
100,SKU-1100,Attack Outerwear,Apparel,Outerwear,320.96,663.7,81
101,SKU-1101,Image Power Tool,Tools & Hardware,Power Tools,380.12,896.65,88
102,SKU-1102,I Power Tool,Tools & Hardware,Power Tools,332.57,635.95,30
103,SKU-1103,Pick Footwear,Apparel,Footwear,105.16,159.99,91
104,SKU-1104,Management Furniture,Office Supplies,Furniture,194.87,294.45,66
105,SKU-1105,Newspaper Component,Electronics,Components,115.72,179.74,50
106,SKU-1106,Enter Hand Tool,Tools & Hardware,Hand Tools,57.07,85.64,98
107,SKU-1107,On Small Appliance,Home & Kitchen,Small Appliances,87.15,151.58,52
108,SKU-1108,Traditional Power Tool,Tools & Hardware,Power Tools,167.48,246.01,63
109,SKU-1109,Yes Accessorie,Apparel,Accessories,378.53,463.85,83
110,SKU-1110,Activity Footwear,Apparel,Footwear,4.35,7.21,59
111,SKU-1111,Response Accessorie,Apparel,Accessories,299.51,572.06,87
112,SKU-1112,Set Storage,Home & Kitchen,Storage,89.33,157.81,13
113,SKU-1113,Building Footwear,Apparel,Footwear,268.21,600.14,31
114,SKU-1114,Rest Outerwear,Apparel,Outerwear,392.33,743.21,60
115,SKU-1115,Value Fastener,Tools & Hardware,Fasteners,265.87,348.06,64
116,SKU-1116,Not Storage,Home & Kitchen,Storage,74.33,114.33,51
117,SKU-1117,Social Storage,Home & Kitchen,Storage,132.08,289.2,58
118,SKU-1118,Example Writing,Office Supplies,Writing,102.4,133.78,12
119,SKU-1119,Specific Hand Tool,Tools & Hardware,Hand Tools,399.96,661.91,93
120,SKU-1120,Put Component,Electronics,Components,18.02,22.35,41
10096,SKU-1096,Structure Accessorie,Apparel,Accessories,231.12,493.18,59
10055,SKU-1055,White Paper Good,Office Supplies,Paper Goods,268.55,431.95,43
10060,SKU-1060,Forward Furniture,Office Supplies,Furniture,393.57,885.23,77
10118,SKU-1118,Example Writing,Office Supplies,Writing,102.4,133.78,12
