movement_id,date_key,product_key,warehouse_key,supplier_key,movement_type_key,quantity,unit_cost
98,3,35,2,14.0,2,242,362.36
99,3,104,3,6.0,2,206,194.87
100,3,10118,1,4.0,1,221,102.4
101,3,87,4,13.0,2,143,267.42
102,3,102,4,,1,138,332.57
103,3,48,6,5.0,1,150,77.58
104,3,82,3,4.0,1,121,393.73
105,3,114,5,10.0,1,57,392.33
106,3,82,4,5.0,2,167,393.73
107,3,18,1,5.0,1,127,65.67
108,3,31,5,8.0,1,95,276.57
109,3,96,6,7.0,2,151,231.12
110,3,20,4,14.0,2,126,344.59
111,3,10096,3,,2,95,231.12
112,3,57,2,2.0,1,176,184.4
113,3,116,6,7.0,1,71,74.33
114,3,16,4,4.0,1,165,359.33
115,3,3,1,4.0,2,33,184.85
116,4,27,1,9.0,2,54,25.05
117,4,105,2,3.0,2,202,115.72
118,4,1,3,3.0,3,34,382.97
119,4,103,2,14.0,2,7,105.16
120,4,46,2,1.0,1,45,2.86
121,4,17,6,2.0,1,191,198.42
122,4,58,3,2.0,1,116,86.84
123,4,10055,5,13.0,2,233,268.55
124,4,67,3,1.0,3,16,177.85
125,4,109,4,2.0,5,126,378.53
126,4,57,1,6.0,2,156,184.4
127,4,17,3,10.0,1,141,198.42
128,4,49,5,8.0,2,130,217.79
129,4,13,6,11.0,2,167,350.79
130,5,56,4,7.0,3,87,269.33
131,5,52,4,6.0,2,110,29.05
132,5,33,3,11.0,1,237,136.56
133,5,12,1,2.0,2,191,322.41
134,5,104,2,10.0,2,245,194.87
135,5,43,6,6.0,2,224,40.97
136,5,97,4,12.0,2,14,99.11
137,5,77,3,10.0,4,130,11.42
138,5,85,4,2.0,1,90,173.66
139,5,48,1,10.0,2,58,77.58
140,5,109,5,14.0,2,160,378.53
141,5,83,5,,2,238,19.67
142,5,89,3,,2,70,228.5
143,5,40,3,3.0,2,223,162.24
144,5,85,4,12.0,1,163,173.66
145,5,12,6,7.0,4,108,322.41
146,5,21,3,6.0,2,199,307.9
147,5,77,1,3.0,4,41,11.42
148,5,7,6,8.0,2,170,255.0
149,5,78,4,4.0,1,194,386.82
150,5,45,4,11.0,2,174,193.58
151,5,68,6,4.0,2,102,31.95
152,5,8,1,4.0,5,197,268.73
153,5,33,3,1.0,1,128,136.56
154,5,23,2,12.0,2,59,204.06
155,5,107,6,2.0,2,102,87.15
156,5,6,4,,3,236,342.42
157,5,41,5,7.0,1,182,77.7
158,5,38,1,6.0,2,44,323.38
159,5,80,4,15.0,2,93,351.06
160,5,109,1,10.0,1,103,378.53
161,5,51,3,4.0,2,86,384.39
162,5,10,5,9.0,2,131,153.02
163,5,100,3,14.0,1,166,320.96
164,5,31,1,4.0,2,45,276.57
165,5,98,6,13.0,2,161,89.1
166,5,97,5,8.0,2,175,99.11
167,5,73,6,10.0,3,83,352.8
168,5,81,3,2.0,3,121,45.14
169,5,39,3,6.0,1,130,170.58
170,5,60,4,,1,95,393.57
171,5,10,6,14.0,2,24,153.02
172,6,65,4,9.0,2,245,38.73
173,6,115,1,13.0,2,147,265.87
174,6,42,5,3.0,2,246,186.13
175,6,14,3,2.0,1,130,354.1
176,6,6,2,8.0,2,135,342.42
177,6,21,3,5.0,2,100,307.9
178,6,44,6,13.0,1,162,370.69
179,6,9,3,11.0,2,99,254.72
180,6,93,6,10.0,1,224,39.17
181,6,11,5,15.0,1,90,274.48
182,6,84,6,3.0,1,153,288.33
183,6,11,3,11.0,2,203,274.48
184,6,17,6,12.0,1,176,198.42
185,6,12,6,9.0,3,93,322.41
186,6,40,2,6.0,1,243,162.24
187,6,25,2,3.0,2,20,381.49
188,6,101,1,9.0,1,214,380.12
189,6,68,1,15.0,2,197,31.95
190,6,77,4,3.0,2,213,11.42
191,6,80,2,1.0,2,106,351.06
192,6,93,2,10.0,1,73,39.17
193,6,101,4,4.0,2,80,380.12
194,6,101,4,4.0,4,95,380.12
195,6,74,4,5.0,2,200,345.9
196,6,68,4,14.0,1,52,31.95
197,6,18,3,8.0,2,224,65.67
198,6,120,1,9.0,1,218,18.02
199,7,58,5,7.0,1,24,86.84
200,7,29,4,15.0,4,7,264.58
201,7,51,5,7.0,1,21,384.39
202,7,4,3,14.0,1,183,118.68
203,7,102,2,5.0,2,235,332.57
204,7,90,2,8.0,2,115,85.65
205,7,116,1,,2,56,74.33
206,7,71,6,7.0,2,29,273.46
207,7,31,3,4.0,2,108,276.57
208,7,80,4,14.0,2,232,351.06
209,7,69,1,10.0,2,62,334.17
210,7,38,4,,2,91,323.38
211,7,54,2,2.0,1,135,263.63
212,7,9,5,13.0,4,130,254.72
213,7,50,4,7.0,2,96,191.76
214,7,3,3,6.0,1,62,184.85
215,7,81,1,12.0,2,194,45.14
216,7,6,3,14.0,1,165,342.42
217,7,100,6,12.0,1,123,320.96
218,7,104,2,13.0,2,242,194.87
219,7,38,2,4.0,2,227,323.38
220,7,120,3,14.0,1,140,18.02
221,7,5,6,6.0,2,221,282.42
222,7,111,6,2.0,2,205,299.51
223,7,114,4,15.0,1,245,392.33
224,7,24,4,6.0,1,237,204.05
225,7,35,1,2.0,2,111,362.36
226,7,106,2,6.0,2,27,57.07
227,7,85,3,10.0,1,184,173.66
228,7,89,4,1.0,1,187,228.5
229,7,46,5,5.0,3,164,2.86
230,7,10055,1,11.0,5,104,268.55
231,7,103,6,1.0,1,37,105.16
232,7,87,4,,2,18,267.42
233,7,83,3,10.0,1,9,19.67
234,7,87,4,6.0,2,114,267.42
235,7,74,2,7.0,2,81,345.9
236,8,32,1,,2,48,360.05
237,8,50,5,13.0,2,67,191.76
238,8,28,5,15.0,2,126,195.42
239,8,18,1,15.0,1,183,65.67
240,8,12,6,6.0,1,171,322.41
241,8,9,5,15.0,1,77,254.72
242,8,92,6,11.0,3,45,69.54
243,8,66,2,4.0,2,203,134.76
244,8,102,4,,1,142,332.57
245,8,60,5,15.0,2,23,393.57
246,8,51,6,9.0,1,106,384.39
247,8,106,5,6.0,2,165,57.07
248,8,60,6,3.0,1,225,393.57
249,8,71,6,13.0,2,248,273.46
250,8,65,1,9.0,1,40,38.73
251,8,21,3,4.0,1,89,307.9
252,8,67,3,5.0,4,51,177.85
253,8,71,3,5.0,2,158,273.46
254,8,65,6,10.0,2,40,38.73
255,8,80,6,6.0,1,216,351.06
256,8,6,1,11.0,3,198,342.42
257,8,84,2,7.0,2,159,288.33
258,8,64,6,11.0,2,245,254.43
259,8,32,6,8.0,1,19,360.05
260,8,21,4,8.0,2,53,307.9
261,8,19,3,6.0,1,188,153.88
262,8,45,4,6.0,5,132,193.58
263,8,41,2,5.0,2,116,77.7
264,8,13,1,7.0,1,222,350.79
265,8,32,2,15.0,2,148,360.05
266,8,25,2,9.0,2,120,381.49
267,8,40,4,,2,242,162.24
268,8,59,2,6.0,1,13,149.07
269,8,64,5,11.0,1,173,254.43
270,8,69,1,7.0,2,35,334.17
271,8,94,3,6.0,3,12,323.01
272,8,73,5,9.0,1,74,352.8
273,9,36,5,2.0,2,33,112.83
274,9,51,3,6.0,4,143,384.39
275,9,97,2,9.0,4,103,99.11
276,9,6,1,6.0,2,206,342.42
277,9,59,2,9.0,2,36,149.07
278,9,79,3,10.0,1,190,272.45
279,9,76,3,9.0,2,137,327.0
280,9,73,3,1.0,2,95,352.8
281,9,15,4,13.0,1,231,100.16
282,9,89,6,,2,122,228.5
283,9,84,5,12.0,1,14,288.33
284,9,22,5,10.0,2,199,182.58
285,9,19,6,10.0,2,243,153.88
286,9,25,1,7.0,2,39,381.49
287,9,27,4,10.0,1,236,25.05
288,9,109,6,12.0,2,36,378.53
289,9,72,3,8.0,2,135,389.59
290,9,10060,2,9.0,1,88,393.57
291,9,87,6,13.0,2,178,267.42
292,9,62,2,5.0,1,143,107.26
293,9,10096,3,12.0,1,54,231.12
294,9,63,3,9.0,2,240,114.14
295,9,93,3,10.0,4,174,39.17
296,9,115,4,13.0,2,206,265.87
297,9,6,3,2.0,1,89,342.42
298,9,84,3,4.0,3,52,288.33
299,9,35,5,3.0,2,28,362.36
300,9,76,2,11.0,2,232,327.0
301,9,82,2,7.0,2,85,393.73
302,9,13,6,1.0,2,247,350.79
303,9,119,2,15.0,2,226,399.96
304,9,62,6,5.0,3,83,107.26
305,9,8,1,4.0,1,137,268.73
306,9,109,1,3.0,2,107,378.53
307,9,23,1,7.0,3,202,204.06
308,9,120,6,15.0,2,75,18.02
309,9,2,3,2.0,3,238,144.87
310,9,37,4,9.0,5,135,374.33
311,9,10096,2,8.0,2,70,231.12
312,9,15,3,8.0,1,166,100.16
313,9,24,1,13.0,1,76,204.05
314,9,97,2,14.0,2,164,99.11
315,9,106,4,2.0,3,103,57.07
316,10,24,2,15.0,2,64,204.05
317,10,50,2,5.0,1,245,191.76
318,10,75,6,5.0,1,168,45.02
319,10,31,1,8.0,1,79,276.57
320,10,88,5,15.0,1,181,52.66
321,10,89,1,5.0,2,95,228.5
322,10,29,2,8.0,2,192,264.58
323,10,48,4,15.0,5,121,77.58
324,10,103,6,13.0,2,64,105.16
325,10,77,1,9.0,2,181,11.42
326,10,118,5,14.0,1,141,102.4
327,10,26,5,3.0,3,84,196.47
328,10,57,1,12.0,3,150,184.4
329,10,116,5,1.0,2,117,74.33
330,10,54,4,9.0,1,119,263.63
331,10,40,6,,2,66,162.24
332,10,96,2,1.0,2,109,231.12
333,10,9,5,15.0,1,229,254.72
334,10,120,4,,1,105,18.02
335,10,18,6,11.0,1,247,65.67
336,10,115,4,15.0,1,233,265.87
337,10,11,6,14.0,1,139,274.48
338,10,111,3,9.0,1,101,299.51
339,10,94,2,13.0,2,6,323.01
340,10,60,6,7.0,4,137,393.57
341,10,30,2,3.0,1,71,349.23
342,10,113,6,1.0,1,208,268.21
343,10,79,1,2.0,2,26,272.45
344,10,58,5,14.0,2,13,86.84
345,10,6,4,9.0,1,56,342.42
346,10,100,1,5.0,2,60,320.96
347,10,94,5,10.0,2,198,323.01
348,10,42,2,3.0,2,170,186.13
349,10,53,3,9.0,2,243,99.99
350,10,95,2,7.0,2,143,245.29
351,10,45,6,13.0,2,135,193.58
352,10,54,4,7.0,1,48,263.63
353,10,61,2,5.0,2,220,327.21
354,10,104,4,9.0,2,106,194.87
355,11,32,3,11.0,1,21,360.05
356,11,109,3,12.0,3,213,378.53
357,11,35,4,10.0,1,11,362.36
358,11,25,5,9.0,3,56,381.49
359,11,112,3,15.0,2,4,89.33
360,11,25,6,13.0,1,123,381.49
361,11,90,5,7.0,3,235,85.65
362,11,42,3,9.0,1,167,186.13
363,11,34,3,8.0,1,120,4.86
364,11,93,4,6.0,1,235,39.17
365,11,41,4,14.0,1,57,77.7
366,11,3,3,10.0,2,149,184.85
367,11,38,2,4.0,2,98,323.38
368,11,32,4,11.0,2,87,360.05
369,11,106,4,11.0,1,190,57.07
370,11,22,6,3.0,2,36,182.58
371,11,63,2,9.0,2,165,114.14
372,11,68,1,2.0,4,242,31.95
373,11,7,1,14.0,2,162,255.0
374,11,91,2,,1,130,177.83
375,11,8,5,15.0,2,158,268.73
376,11,85,4,,3,137,173.66
377,11,2,1,5.0,2,138,144.87
378,11,3,5,11.0,4,111,184.85
379,11,117,2,2.0,2,135,132.08
380,11,25,5,14.0,1,91,381.49
381,11,51,1,7.0,1,118,384.39
382,11,90,2,14.0,2,218,85.65
383,11,110,6,2.0,1,104,4.35
384,11,71,4,1.0,1,180,273.46
385,11,64,4,6.0,1,145,254.43
386,11,13,5,4.0,4,55,350.79
387,11,89,5,1.0,3,237,228.5
388,11,119,3,10.0,1,169,399.96
389,11,119,3,,1,54,399.96
390,11,97,6,15.0,2,20,99.11
391,11,73,2,14.0,1,100,352.8
392,11,70,3,12.0,2,36,18.65
393,11,89,6,12.0,2,250,228.5
394,11,13,4,2.0,1,88,350.79
395,11,79,5,13.0,2,84,272.45
396,11,35,4,6.0,1,142,362.36
397,11,56,2,11.0,4,98,269.33
398,11,80,3,12.0,1,19,351.06
399,11,20,4,11.0,1,40,344.59
400,12,41,3,1.0,2,242,77.7
401,12,47,3,2.0,1,48,279.24
402,12,72,5,2.0,1,7,389.59
403,12,71,1,13.0,1,84,273.46
404,12,2,3,13.0,3,22,144.87
405,12,72,2,3.0,2,176,389.59
406,12,18,3,8.0,1,38,65.67
407,12,56,3,8.0,1,201,269.33
408,12,33,2,8.0,1,153,136.56
409,12,59,1,1.0,2,243,149.07
410,12,108,5,14.0,1,85,167.48
411,12,56,6,3.0,1,77,269.33
412,12,10055,6,6.0,1,46,268.55
413,12,10118,3,12.0,4,163,102.4
414,12,74,2,5.0,2,210,345.9
415,12,47,1,4.0,2,152,279.24
416,12,24,6,1.0,5,244,204.05
417,12,10096,6,13.0,2,75,231.12
418,12,9,4,3.0,2,163,254.72
419,12,33,6,7.0,1,203,136.56
420,12,58,5,7.0,1,137,86.84
421,12,118,6,1.0,2,203,102.4
422,12,90,5,15.0,4,22,85.65
423,12,32,6,3.0,1,166,360.05
424,12,73,6,7.0,2,248,352.8
425,12,10118,4,2.0,2,67,102.4
426,12,96,5,12.0,1,148,231.12
427,12,48,4,11.0,1,151,77.58
428,12,20,3,8.0,2,27,344.59
429,12,118,1,12.0,1,37,102.4
430,12,44,4,9.0,1,124,370.69
431,12,13,4,8.0,1,82,350.79
432,13,3,3,11.0,2,205,184.85
433,13,95,2,9.0,1,41,245.29
434,13,55,4,7.0,1,162,268.55
435,13,82,6,1.0,1,189,393.73
436,13,26,4,7.0,2,2,196.47
437,13,27,3,13.0,2,204,25.05
438,13,14,5,6.0,1,51,354.1
439,13,34,6,9.0,2,248,4.86
440,13,77,4,10.0,2,30,11.42
441,13,109,4,14.0,1,173,378.53
442,13,39,5,11.0,2,35,170.58
443,13,31,3,6.0,1,178,276.57
444,13,50,4,10.0,1,99,191.76
445,13,63,6,15.0,1,166,114.14
446,13,23,5,5.0,4,36,204.06
447,13,108,4,14.0,1,92,167.48
448,13,63,2,7.0,4,247,114.14
449,13,84,4,8.0,2,107,288.33
450,13,57,4,10.0,2,8,184.4
451,13,29,3,,2,58,264.58
452,13,22,4,13.0,2,197,182.58
453,13,66,1,5.0,2,199,134.76
454,13,47,5,1.0,2,195,279.24
455,13,70,2,2.0,2,189,18.65
456,13,97,2,1.0,2,116,99.11
457,13,111,1,2.0,1,199,299.51
458,13,27,6,6.0,2,221,25.05
459,13,81,4,3.0,2,201,45.14
460,13,27,1,9.0,1,72,25.05
461,13,22,3,5.0,2,75,182.58
462,13,10055,5,11.0,2,209,268.55
463,13,10118,4,5.0,1,222,102.4
464,13,90,2,12.0,2,83,85.65
465,13,98,6,3.0,2,148,89.1
466,13,81,4,2.0,2,163,45.14
467,13,99,1,12.0,2,72,21.99
468,13,113,3,8.0,2,84,268.21
469,14,112,6,8.0,2,163,89.33
470,14,46,1,7.0,2,56,2.86
471,14,106,2,6.0,4,213,57.07
472,14,71,5,14.0,1,125,273.46
473,14,115,6,1.0,2,26,265.87
474,14,108,4,,2,238,167.48
475,14,57,4,,3,246,184.4
476,14,89,2,5.0,1,41,228.5
477,14,113,3,6.0,3,65,268.21
478,14,86,6,7.0,1,161,266.03
479,14,90,2,2.0,1,181,85.65
480,14,28,4,10.0,1,58,195.42
481,14,57,1,,2,88,184.4
482,14,111,4,8.0,2,19,299.51
483,14,12,6,2.0,1,81,322.41
484,14,39,2,14.0,1,193,170.58
485,14,83,6,9.0,3,145,19.67
486,14,84,2,12.0,1,55,288.33
487,14,20,4,8.0,2,221,344.59
488,14,115,1,2.0,1,151,265.87
489,14,45,4,3.0,2,64,193.58
490,14,11,2,10.0,1,185,274.48
491,14,100,6,,2,217,320.96
492,14,39,2,9.0,2,49,170.58
493,14,38,6,15.0,2,204,323.38
494,14,64,4,8.0,4,164,254.43
495,14,68,1,15.0,2,82,31.95
496,14,111,5,9.0,1,175,299.51
497,14,61,1,,1,18,327.21
498,14,28,1,13.0,1,102,195.42
499,14,81,6,7.0,2,109,45.14
500,14,11,6,10.0,2,40,274.48
501,14,40,1,4.0,1,250,162.24
502,14,69,3,11.0,2,196,334.17
503,14,88,6,12.0,2,112,52.66
504,15,12,4,10.0,1,156,322.41
505,15,86,6,3.0,1,31,266.03
506,15,18,6,,1,128,65.67
507,15,67,5,12.0,4,67,177.85
508,15,17,6,5.0,1,188,198.42
509,15,99,1,7.0,3,70,21.99
510,15,34,6,11.0,2,20,4.86
511,15,66,3,14.0,2,146,134.76
512,15,21,3,15.0,1,147,307.9
513,15,15,2,1.0,2,12,100.16
514,15,2,2,6.0,3,99,144.87
515,15,23,1,15.0,3,183,204.06
516,15,54,2,7.0,2,235,263.63
517,15,35,1,2.0,2,129,362.36
518,15,7,2,9.0,2,12,255.0
519,15,9,4,13.0,4,217,254.72
520,15,12,5,6.0,1,52,322.41
521,15,101,3,4.0,1,119,380.12
522,15,64,2,9.0,1,195,254.43
523,15,20,1,1.0,2,60,344.59
524,15,82,6,6.0,2,1,393.73
525,15,49,6,2.0,2,53,217.79
526,15,31,4,1.0,2,249,276.57
527,15,92,3,15.0,5,60,69.54
528,15,67,4,6.0,3,118,177.85
529,15,11,5,3.0,4,164,274.48
530,15,10,5,7.0,2,170,153.02
531,15,31,3,6.0,4,238,276.57
532,15,90,6,8.0,2,70,85.65
533,15,10096,2,13.0,1,150,231.12
534,15,14,2,6.0,1,105,354.1
535,15,46,2,8.0,1,68,2.86
536,15,12,2,5.0,3,212,322.41
537,16,78,1,14.0,2,84,386.82
538,16,92,2,7.0,1,132,69.54
539,16,39,3,3.0,1,8,170.58
540,16,110,4,9.0,4,64,4.35
541,16,14,2,1.0,1,213,354.1
542,16,29,2,7.0,2,96,264.58
543,16,10096,6,10.0,2,67,231.12
544,16,10,1,4.0,3,232,153.02
545,16,104,2,14.0,2,213,194.87
546,16,16,1,1.0,2,44,359.33
547,16,56,6,1.0,3,98,269.33
548,16,23,3,3.0,2,71,204.06
549,16,114,2,,1,159,392.33
550,16,83,3,15.0,2,141,19.67
551,16,12,3,7.0,2,52,322.41
552,16,103,5,13.0,2,140,105.16
553,16,49,6,9.0,2,201,217.79
554,16,117,5,7.0,2,70,132.08
555,16,41,5,15.0,1,208,77.7
556,17,68,3,4.0,5,250,31.95
557,17,32,6,9.0,1,209,360.05
558,17,95,1,4.0,2,148,245.29
559,17,103,4,14.0,2,217,105.16
560,17,31,5,12.0,1,179,276.57
561,17,76,1,6.0,1,243,327.0
562,17,19,5,14.0,2,208,153.88
563,17,64,5,8.0,3,10,254.43
564,17,30,5,9.0,1,123,349.23
565,17,118,5,3.0,1,88,102.4
566,17,118,3,3.0,2,151,102.4
567,17,19,1,14.0,2,94,153.88
568,17,48,6,7.0,4,151,77.58
569,17,39,3,3.0,1,188,170.58
570,17,102,6,11.0,4,82,332.57
571,17,10118,5,15.0,1,158,102.4
572,17,29,6,3.0,2,97,264.58
573,17,89,3,12.0,1,1,228.5
574,17,10055,5,13.0,4,248,268.55
575,17,24,5,13.0,2,248,204.05
576,17,82,5,8.0,2,37,393.73
577,17,10,2,6.0,1,43,153.02
578,17,10118,1,11.0,2,164,102.4
579,17,43,4,,2,54,40.97
580,17,9,3,2.0,1,185,254.72
581,17,50,4,3.0,1,227,191.76
582,17,113,4,7.0,1,26,268.21
583,17,101,5,11.0,2,58,380.12
584,17,10,1,6.0,1,67,153.02
585,17,10,3,7.0,4,42,153.02
586,17,71,1,10.0,2,229,273.46
587,17,4,4,3.0,2,156,118.68
588,17,21,1,4.0,3,250,307.9
589,17,90,5,12.0,1,139,85.65
590,17,37,3,1.0,1,101,374.33
591,18,108,4,6.0,2,1,167.48
592,18,38,6,8.0,1,52,323.38
593,18,27,2,2.0,1,122,25.05
594,18,40,4,15.0,2,170,162.24
595,18,83,5,6.0,1,227,19.67
596,18,24,4,8.0,1,120,204.05
597,18,108,3,3.0,1,193,167.48
598,18,13,1,13.0,2,139,350.79
599,18,97,5,1.0,1,216,99.11
600,18,67,4,11.0,1,222,177.85
601,18,74,2,2.0,4,102,345.9
602,18,92,1,15.0,3,133,69.54
603,18,87,5,13.0,2,115,267.42
604,18,22,2,3.0,1,11,182.58
605,18,88,4,14.0,1,161,52.66
606,18,77,3,12.0,1,235,11.42
607,18,12,4,9.0,2,84,322.41
608,18,67,4,1.0,3,202,177.85
609,18,76,5,2.0,2,107,327.0
610,18,73,5,2.0,1,237,352.8
611,18,100,1,14.0,1,138,320.96
612,18,113,4,11.0,3,125,268.21
613,18,61,1,7.0,2,37,327.21
614,18,88,6,7.0,2,228,52.66
615,18,89,2,8.0,3,236,228.5
616,18,48,1,13.0,1,78,77.58
617,18,108,4,11.0,1,26,167.48
618,18,30,2,12.0,4,114,349.23
619,18,42,3,10.0,2,166,186.13
620,18,57,2,7.0,1,190,184.4
621,18,67,3,9.0,2,203,177.85
622,18,40,6,3.0,1,200,162.24
623,19,25,2,4.0,1,9,381.49
624,19,118,3,5.0,2,95,102.4
625,19,65,4,2.0,2,175,38.73
626,19,48,4,3.0,1,246,77.58
627,19,76,5,3.0,3,215,327.0
628,19,96,6,1.0,3,99,231.12
629,19,110,5,4.0,1,220,4.35
630,19,29,6,11.0,1,105,264.58
631,19,111,6,,2,234,299.51
632,19,23,5,4.0,1,65,204.06
633,19,10096,3,12.0,2,165,231.12
634,19,115,4,8.0,1,65,265.87
635,19,39,6,10.0,1,102,170.58
636,19,1,5,14.0,2,215,382.97
637,19,83,5,5.0,1,176,19.67
638,19,9,3,11.0,1,84,254.72
639,19,34,6,15.0,3,167,4.86
640,19,20,5,15.0,1,15,344.59
641,19,103,5,6.0,2,175,105.16
642,19,4,6,5.0,1,67,118.68
643,19,52,4,10.0,3,182,29.05
644,19,105,2,12.0,5,57,115.72
645,19,82,4,11.0,2,92,393.73
646,19,109,2,15.0,2,143,378.53
647,19,13,4,5.0,1,186,350.79
648,19,98,2,15.0,2,86,89.1
649,19,29,3,14.0,2,79,264.58
650,19,114,3,10.0,1,76,392.33
651,19,16,4,11.0,2,150,359.33
652,19,80,1,4.0,2,129,351.06
653,19,88,4,7.0,1,14,52.66
654,19,20,2,6.0,3,105,344.59
655,19,115,4,14.0,5,184,265.87
656,19,11,4,3.0,1,81,274.48
657,19,1,4,13.0,2,199,382.97
658,19,98,2,13.0,1,200,89.1
659,19,79,4,7.0,1,110,272.45
660,19,50,1,,4,52,191.76
661,19,10055,1,13.0,2,214,268.55
662,19,3,6,,2,188,184.85
663,19,89,3,2.0,1,99,228.5
664,19,40,2,1.0,2,77,162.24
665,19,59,6,9.0,4,87,149.07
666,19,88,2,15.0,1,126,52.66
667,20,25,2,15.0,1,208,381.49
668,20,30,2,3.0,1,55,349.23
669,20,76,5,6.0,2,183,327.0
670,20,5,4,5.0,2,198,282.42
671,20,7,5,11.0,2,28,255.0
672,20,3,1,7.0,2,114,184.85
673,20,71,3,3.0,1,53,273.46
674,20,81,1,11.0,2,26,45.14
675,20,35,5,3.0,2,108,362.36
676,20,14,5,2.0,2,73,354.1
677,20,14,4,4.0,1,200,354.1
678,20,67,2,7.0,1,76,177.85
679,20,71,4,12.0,1,239,273.46
680,20,31,1,,2,23,276.57
681,20,107,5,3.0,3,244,87.15
682,20,66,1,2.0,1,232,134.76
683,20,30,4,5.0,1,68,349.23
684,20,13,2,14.0,2,75,350.79
685,20,87,3,2.0,1,25,267.42
686,20,114,1,,3,36,392.33
687,20,22,3,8.0,2,245,182.58
688,21,105,3,7.0,1,103,115.72
689,21,35,4,8.0,4,205,362.36
690,21,114,2,12.0,1,186,392.33
691,21,10096,2,15.0,1,152,231.12
692,21,73,6,10.0,2,98,352.8
693,21,79,1,15.0,2,215,272.45
694,21,115,2,8.0,2,29,265.87
695,21,57,1,11.0,3,81,184.4
696,21,112,6,12.0,1,148,89.33
697,21,29,6,9.0,2,134,264.58
698,21,80,1,12.0,2,64,351.06
699,21,85,6,3.0,2,215,173.66
